PrincipleComp1,PrincipleComp2,Cluster
-1.476941754,0.075405013,Cluster_2
-0.789419989,0.809995218,Cluster_2
-1.586289164,1.657591801,Cluster_1
-0.319201001,0.762892012,Cluster_2
-0.501181192,1.926232454,Cluster_1
-2.663620511,1.102088979,Cluster_2
-0.253304971,0.547044584,Cluster_2
-1.657422242,1.278293321,Cluster_2
-0.799847973,0.940743299,Cluster_2
0.278033919,1.861362835,Cluster_2
-1.829211535,1.341645247,Cluster_1
-1.883133993,1.475605592,Cluster_2
0.598152709,2.222765174,Cluster_1
-1.28200303,1.283275466,Cluster_2
-0.866295104,1.119961859,Cluster_2
-0.430437442,-0.110096235,Cluster_2
-1.275978195,0.49250423,Cluster_2
-1.05433388,0.773725378,Cluster_2
-0.879499022,1.51352926,Cluster_2
-0.632137514,1.2300979,Cluster_2
0.439582779,1.293330683,Cluster_2
0.032948414,1.524174256,Cluster_2
0.122902293,1.259101815,Cluster_2
-0.82509398,1.721645432,Cluster_1
-0.631664155,1.763338473,Cluster_2
-0.541284164,0.892111717,Cluster_2
-0.520039174,1.594979465,Cluster_2
2.764206539,-0.479369713,Cluster_3
3.162936301,-0.780259896,Cluster_3
3.162936301,-0.780259896,Cluster_3
-0.788645213,-1.558275906,Cluster_3
-0.231588946,-1.666381735,Cluster_3
3.162936301,-0.780259896,Cluster_3
3.162936301,-0.780259896,Cluster_3
2.843861984,-0.437687809,Cluster_3
2.843861984,-0.437687809,Cluster_3
3.162936301,-0.780259896,Cluster_3
-1.754131545,-0.059222779,Cluster_2
0.2153768,0.744528966,Cluster_2
-0.205422505,0.810776202,Cluster_2
-1.333411812,1.563318623,Cluster_1
-0.067529748,0.471900144,Cluster_2
-1.410960523,0.551493968,Cluster_2
-0.347652972,1.28747565,Cluster_2
-0.646489018,1.667872144,Cluster_2
-0.324167758,2.340899799,Cluster_2
-1.516439856,1.16342019,Cluster_2
-1.491202806,1.438164148,Cluster_2
0.10494501,2.704627269,Cluster_1
-1.222873809,2.1266664,Cluster_1
-0.278507564,2.652017723,Cluster_1
0.113562601,1.346522747,Cluster_1
-1.484336182,-0.221815928,Cluster_2
-0.89705812,-1.152053315,Cluster_5
-0.288436003,-1.510075661,Cluster_5
0.85576618,-0.698354945,Cluster_5
-0.242088658,-2.404869438,Cluster_5
0.516685571,-1.795156438,Cluster_5
0.861107407,-2.146086373,Cluster_5
0.215312654,-1.662595564,Cluster_5
0.291039006,-1.736354592,Cluster_5
-0.72417053,-0.566099309,Cluster_5
-0.743830801,-2.046441107,Cluster_5
-1.381594608,-2.093235319,Cluster_5
-0.040100907,-2.532048211,Cluster_5
0.45221272,-2.495449755,Cluster_5
0.476857848,-1.81599739,Cluster_5
0.368729905,-1.752393154,Cluster_5
0.182671213,-1.040625917,Cluster_5
0.750080626,-2.405170554,Cluster_5
0.610113323,-2.078926679,Cluster_5
1.060278297,2.760498886,Cluster_4
-1.139495412,1.581275874,Cluster_4
0.235047467,2.364612804,Cluster_4
-0.854076314,1.765221928,Cluster_2
0.160333414,1.002026597,Cluster_4
-0.052638509,1.772764366,Cluster_4
0.723782106,1.012574407,Cluster_2
-0.701557171,1.361333173,Cluster_4
-0.729127833,1.643519532,Cluster_2
-1.288506824,1.380399691,Cluster_4
-0.18282514,2.058012233,Cluster_4
-0.969078474,1.782886998,Cluster_4
-0.496000994,1.18896407,Cluster_4
0.838716662,2.216513507,Cluster_4
0.760345168,2.587033258,Cluster_4
1.784138944,0.890258373,Cluster_4
-1.578219348,0.258173693,Cluster_4
-0.36686876,1.752621867,Cluster_4
-0.588098908,1.154192438,Cluster_2
0.509341139,2.211122814,Cluster_4
0.043294416,1.378072,Cluster_1
1.089720691,2.592423952,Cluster_4
-1.086805301,-2.193757393,Cluster_5
-2.30538579,-1.769378554,Cluster_2
-1.479362724,-0.652526259,Cluster_2
-2.524741242,-3.071221075,Cluster_5
-1.369789082,0.058193598,Cluster_1
1.127093979,-0.333635279,Cluster_2
-1.74805038,-1.661520408,Cluster_5
-1.671275137,-0.325343783,Cluster_2
-1.688904288,-2.810435594,Cluster_5
-1.089639946,-2.105648695,Cluster_5
-1.812452879,-2.430414193,Cluster_5
-1.278322986,-0.546137117,Cluster_2
-3.197715954,-2.766821624,Cluster_5
-1.80493612,-3.223726436,Cluster_5
-1.338009609,0.348085572,Cluster_2
-1.316715401,0.266950628,Cluster_1
-0.768234175,-0.306306086,Cluster_2
-0.593276218,-1.386437241,Cluster_2
-0.746806162,-0.465277812,Cluster_2
-1.695109451,0.297102732,Cluster_2
-2.798269587,-1.479928856,Cluster_2
-3.090715272,-0.825149406,Cluster_2
-2.849501944,-2.086086028,Cluster_5
-2.964215279,-1.391707084,Cluster_5
-3.893125138,-3.255918164,Cluster_5
-2.179926266,-1.685896109,Cluster_2
-2.202270933,-1.403277447,Cluster_2
-1.711478954,-3.052578419,Cluster_5
-3.516790271,-2.424249536,Cluster_5
-2.532145902,-3.061147677,Cluster_5
-1.977367944,-0.57797586,Cluster_2
-0.651617059,0.032595126,Cluster_2
-0.871151293,-0.322525795,Cluster_2
-1.785875717,-2.341380113,Cluster_5
-1.040844176,-0.584799257,Cluster_2
-2.913700553,-3.425880961,Cluster_5
-1.319206812,0.84881622,Cluster_1
-1.919778749,-0.418465268,Cluster_2
-0.368521242,-0.55740185,Cluster_1
3.162936301,-0.780259896,Cluster_3
2.843861984,-0.437687809,Cluster_3
2.843861984,-0.437687809,Cluster_3
3.162936301,-0.780259896,Cluster_3
2.843861984,-0.437687809,Cluster_3
2.407701101,0.120277593,Cluster_3
2.843861984,-0.437687809,Cluster_3
2.843861984,-0.437687809,Cluster_3
2.843861984,-0.437687809,Cluster_3
3.162936301,-0.780259896,Cluster_3
2.843861984,-0.437687809,Cluster_3
2.524787667,-0.095115722,Cluster_3
2.524787667,-0.095115722,Cluster_3
2.843861984,-0.437687809,Cluster_3
2.843861984,-0.437687809,Cluster_3
2.843861984,-0.437687809,Cluster_3
3.162936301,-0.780259896,Cluster_3
